#%result_name=Day 1 only
#%array_type=Immune-response
#%annotation=Immune-response.transcript.csv
#%comparison=1 vs 2
ID	1 Avg (log2)	2 Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
TCF7_677799	19.68	21.62	-3.83	0.0006	0.0082	TCF7	transcription_factor_7_isoform_1
ITK_563669	19.1	20.51	-2.65	0.0007	0.0086	ITK	IL2-inducible_T-cell_kinase
NRP1_14831588	13.2	15.43	-4.71	0.0007	0.0086	NRP1	neuropilin_1
CD3E_677780	21.32	22.67	-2.55	0.0008	0.0086	CD3E	CD3e_molecule_epsilon_CD3-TCR_complex
SH2D1A_540642	17.25	18.85	-3.04	0.0008	0.0086	SH2D1A	SH2_domain_containing_1A
GATA3_14061514	17.27	18.46	-2.29	0.0008	0.0086	GATA3	GATA_binding_protein_3
NCR3_234342	16.39	17.79	-2.65	0.0008	0.0086	NCR3	natural_cytotoxicity_triggering_receptor_3
CD247_152252	19.84	21.07	-2.34	0.0008	0.0091	CD247	CD247_molecule
CD2_350452	20.21	21.71	-2.83	0.0010	0.0100	CD2	CD2_molecule
EOMES_9391044	18.13	19.51	-2.61	0.0011	0.0110	EOMES	eomesodermin
SAMHD1_19002006	20.78	21.93	-2.22	0.0012	0.0123	SAMHD1	SAM_domain_and_HD_domain_1
SLAMF8_9071016	15.45	16.81	-2.56	0.0013	0.0130	SLAMF8	SLAM_family_member_8
GZMK_178286	17.26	19.12	-3.61	0.0015	0.0137	GZMK	granzyme_K_granzyme_3_tryptase_II
CRTAM_312417	16	17.37	-2.58	0.0015	0.0137	CRTAM	cytotoxic_and_regulatory_T_cell_molecule
ITGB7_24342544	18.74	20.12	-2.6	0.0015	0.0137	ITGB7	integrin_beta_7
CD3G_616717	20.56	21.86	-2.47	0.0019	0.0168	CD3G	CD3g_molecule_gamma_CD3-TCR_complex
JCHAIN_134238	21.54	18.67	7.32	0.0022	0.0182	JCHAIN	joining_chain_of_multimeric_IgA_and_IgM
KIAA0101_319426	16.72	13.5	9.33	0.0022	0.0182	KIAA0101	KIAA0101
CD40LG_479579	17.33	18.71	-2.61	0.0023	0.0186	CD40LG	CD40_ligand
CD3D_400503	19.26	21.22	-3.89	0.0027	0.0213	CD3D	CD3d_molecule_delta_CD3-TCR_complex
CCL4_121220	18.88	20.04	-2.24	0.0029	0.0221	CCL4	chemokine_C-C_motif_ligand_4
CXCR6_48153	14.96	16.52	-2.95	0.0034	0.0245	CXCR6	chemokine_C-X-C_motif_receptor_6
CD52_70175	21.72	22.86	-2.21	0.0034	0.0245	CD52	CD52_molecule
GNLY_251357	21.64	23.09	-2.74	0.0035	0.0245	GNLY	granulysin
PDCD1_143244	14.62	16.27	-3.14	0.0036	0.0245	PDCD1	programmed_cell_death_1
CCL5_110219	22.49	23.76	-2.4	0.0036	0.0245	CCL5	chemokine_C-C_motif_ligand_5
KLRF1_188285	16.28	17.46	-2.25	0.0039	0.0265	KLRF1	killer_cell_lectin-like_receptor_subfamily_F_member_1
LAG3_13111419	15.62	16.87	-2.39	0.0042	0.0275	LAG3	lymphocyte-activation_gene_3
CIITA_294397	19.86	20.88	-2.03	0.0043	0.0275	CIITA	class_II_major_histocompatibility_complex_transactivator
CCR7_133237	19.31	20.81	-2.83	0.0046	0.0291	CCR7	chemokine_C-C_motif_receptor_7
CX3CR1_207292	14.08	15.49	-2.66	0.0052	0.0316	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
SIT1_148254	18.64	19.74	-2.15	0.0056	0.0330	SIT1	signaling_threshold_regulating_transmembrane_adaptor_1
CD28_601704	18.24	19.57	-2.5	0.0062	0.0359	CD28	CD28_molecule
TOP2A_27522855	17.62	15.5	4.36	0.0063	0.0360	TOP2A	topoisomerase_DNA_II_alpha_170kDa
LEXM_10551156	14.27	15.31	-2.06	0.0071	0.0392	LEXM	lymphocyte_expansion_molecule_variant2
MELK_300401	16.59	15.35	2.36	0.0073	0.0392	MELK	maternal_embryonic_leucine_zipper_kinase
IL7R_551658	20.4	21.9	-2.83	0.0073	0.0392	IL7R	interleukin_7_receptor
TNFRSF18_348456	14.37	15.7	-2.51	0.0083	0.0428	TNFRSF18	tumor_necrosis_factor_receptor_superfamily_member_18
CDK1_837939	17.3	14.86	5.44	0.0088	0.0442	CDK1	cyclin-dependent_kinase_1
C1QA_67171	16.52	17.89	-2.58	0.0093	0.0462	C1QA	complement_component_1_q_subcomponent_A_chain
CD1C_12531357	15.55	16.95	-2.64	0.0096	0.0469	CD1C	CD1c_molecule
MPO_15121620	20.05	17.51	5.81	0.0119	0.0563	MPO	myeloperoxidase
CCR6_271363	16.31	17.58	-2.41	0.0122	0.0569	CCR6	C-C_chemokine_receptor_type_6
CBLB_296407	17.83	18.94	-2.16	0.0123	0.0569	CBLB	Cbl_proto-oncogene_B_E3_ubiquitin_protein_ligase
TNFSF9_325412	11.72	13.45	-3.33	0.0133	0.0606	TNFSF9	tumor_necrosis_factor_ligand_superfamily_member_9
ARG1_174278	21.07	19.17	3.74	0.0136	0.0606	ARG1	arginase_1
MADCAM1_9291024	15.54	14	2.89	0.0141	0.0620	MADCAM1	mucosal_vascular_addressin_cell_adhesion_molecule_1
TNFRSF4_304389	14.11	15.46	-2.55	0.0155	0.0658	TNFRSF4	tumor_necrosis_factor_receptor_superfamily_member_4
CMKLR1_36143	12.21	14.34	-4.37	0.0173	0.0716	CMKLR1	chemokine-like_receptor_1
ALOX15B_13391445	15.56	14.13	2.69	0.0175	0.0716	ALOX15B	arachidonate_15-lipoxygenase_type_B
MMP9_11741283	23.8	22.56	2.36	0.0179	0.0720	MMP9	matrix_metallopeptidase_9_gelatinase_B_92kDa_gelatinase_92kDa_type_IV_collagenase
HLA-DRA_186294	23.56	24.75	-2.28	0.0179	0.0720	HLA-DRA	major_histocompatibility_complex_class_II_DR_alpha
TLR3_24932595	12.82	14.55	-3.33	0.0189	0.0736	TLR3	toll-like_receptor_3
TNFRSF17_254359	17.03	14.87	4.47	0.0196	0.0756	TNFRSF17	tumor_necrosis_factor_receptor_superfamily_member_17
IFNG_400500	12.93	14.1	-2.25	0.0212	0.0802	IFNG	interferon_gamma
CLEC4C_322429	11.83	13.91	-4.24	0.0233	0.0860	CLEC4C	C-type_lectin_domain_family_4_member_C
RORC_12011307	15.21	16.6	-2.61	0.0252	0.0920	RORC	RAR-related_orphan_receptor_C
TLR7_99206	18.33	19.69	-2.58	0.0275	0.0960	TLR7	toll-like_receptor_7
NCAM1_26012709	16.52	17.58	-2.09	0.0340	0.1108	NCAM1	neural_cell_adhesion_molecule_1
CD209_9921101	12.71	14.81	-4.29	0.0352	0.1129	CD209	CD209_molecule
HLA-DPA1_129237	21.79	23.73	-3.83	0.0453	0.1337	HLA-DPA1	major_histocompatibility_complex_class_II_DP_alpha_1
